last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Tulowitzki, Troy,453064,2016,544,395,.254,.265,-0.011,.443,.487,-0.044,.327,.349,-0.022
Holliday, Matt,407812,2016,426,312,.246,.262,-0.016,.461,.460,0.001,.335,.349,-0.014
Braun, Ryan,460075,2016,564,416,.305,.278,0.027,.538,.463,0.075,.378,.346,0.032
Fowler, Dexter,451594,2016,551,337,.276,.250,0.026,.447,.398,0.049,.367,.346,0.021
Calhoun, Kole,594777,2016,672,481,.271,.267,0.004,.438,.447,-0.009,.340,.346,-0.006
Canó, Robinson,429664,2016,715,560,.298,.280,0.018,.533,.473,0.060,.370,.345,0.025
Abreu, José,547989,2016,695,508,.293,.276,0.017,.468,.459,0.009,.349,.345,0.004
Valencia, Danny,502143,2016,517,358,.287,.275,0.012,.446,.464,-0.018,.342,.345,-0.003
Kemp, Matt,461314,2016,672,479,.268,.265,0.003,.499,.517,-0.018,.333,.344,-0.011
Kang, Jung Ho,628356,2016,370,241,.255,.237,0.018,.513,.453,0.060,.369,.344,0.025
Pederson, Joc,592626,2016,476,279,.246,.237,0.009,.495,.455,0.040,.360,.344,0.016
Schimpf, Ryan,572114,2016,330,174,.217,.194,0.023,.533,.468,0.065,.362,.343,0.019
Ramos, Wilson,467092,2016,523,407,.307,.273,0.034,.496,.471,0.025,.361,.342,0.019
Arenado, Nolan,571448,2016,696,523,.294,.257,0.037,.570,.468,0.102,.386,.342,0.044
Ramirez, Hanley,434670,2016,620,433,.286,.256,0.030,.505,.459,0.046,.367,.342,0.025
Joseph, Tommy,571830,2016,347,246,.257,.256,0.001,.505,.483,0.022,.342,.342,-0.000
Dickerson, Alex,543105,2016,285,211,.257,.269,-0.012,.455,.444,0.011,.336,.342,-0.006
Park, ByungHo,666560,2016,244,138,.191,.225,-0.034,.409,.500,-0.091,.294,.342,-0.048
Kim, Hyun Soo,547957,2016,346,255,.302,.269,0.033,.420,.417,0.003,.352,.341,0.011
Lucroy, Jonathan,518960,2016,544,394,.292,.271,0.021,.500,.462,0.038,.362,.341,0.021
Piscotty, Stephen,572039,2016,649,453,.273,.260,0.013,.457,.456,0.001,.345,.341,0.004
Tomás, Yasmany,630111,2016,563,395,.272,.272,0.000,.508,.487,0.021,.345,.341,0.004
Rendon, Anthony,543685,2016,647,458,.270,.260,0.010,.450,.441,0.009,.342,.341,0.001
Lamb, Jake,571875,2016,594,373,.249,.243,0.006,.509,.461,0.048,.352,.340,0.012
Morrison, Logan,489149,2016,398,266,.238,.258,-0.020,.414,.439,-0.025,.318,.340,-0.022
Kipnis, Jason,543401,2016,688,476,.275,.265,0.010,.469,.441,0.028,.347,.339,0.008
Flowers, Tyler,452095,2016,325,194,.270,.239,0.031,.420,.431,-0.011,.338,.339,-0.001
Harper, Bryce,547180,2016,627,399,.243,.240,0.003,.441,.421,0.020,.343,.339,0.004
Napoli, Mike,435063,2016,645,368,.239,.218,0.021,.465,.466,-0.001,.343,.339,0.004
Dietrich, Derek,518618,2016,412,272,.279,.251,0.028,.425,.410,0.015,.348,.338,0.010
Ozuna, Marcell,542303,2016,608,446,.266,.272,-0.006,.452,.462,-0.010,.330,.338,-0.008
Upton, Justin,457708,2016,626,393,.246,.249,-0.003,.465,.478,-0.013,.329,.338,-0.009
Stanton, Giancarlo,519317,2016,470,276,.240,.237,0.003,.489,.472,0.017,.343,.338,0.005
Lindor, Francisco,596019,2016,684,534,.301,.285,0.016,.435,.419,0.016,.340,.337,0.003
Moss, Brandon,461235,2016,464,277,.225,.230,-0.005,.484,.481,0.003,.329,.337,-0.008
González, Carlos,471865,2016,632,456,.298,.271,0.027,.505,.456,0.049,.361,.335,0.026
Cron, C.J.,543068,2016,445,339,.278,.268,0.010,.467,.456,0.011,.335,.335,0.000
Duvall, Adam,594807,2016,608,397,.241,.246,-0.005,.498,.489,0.009,.332,.335,-0.003
Segura, Jean,516416,2016,694,542,.319,.267,0.052,.499,.447,0.052,.371,.334,0.037
Markakis, Nick,455976,2016,684,507,.269,.274,-0.005,.397,.412,-0.015,.321,.334,-0.013
Myers, Wil,571976,2016,676,444,.259,.251,0.008,.461,.431,0.030,.341,.334,0.007
McCutchen, Andrew,457705,2016,675,458,.256,.251,0.005,.430,.444,-0.014,.329,.334,-0.005
Moreland, Mitch,519048,2016,503,342,.233,.252,-0.019,.422,.468,-0.046,.307,.334,-0.027
Betts, Mookie,605141,2016,730,599,.318,.275,0.043,.534,.441,0.093,.379,.333,0.046
Contreras, Willson,575929,2016,283,186,.282,.255,0.027,.488,.433,0.055,.363,.333,0.030
Rodríguez, Sean,446481,2016,342,202,.270,.229,0.041,.510,.457,0.053,.363,.333,0.030
Turner, Trea,607208,2016,324,250,.342,.279,0.063,.567,.462,0.105,.395,.332,0.063
Grossman, Robbie,543257,2016,389,236,.280,.250,0.030,.443,.377,0.066,.363,.332,0.031
Polanco, Gregory,570256,2016,587,415,.258,.269,-0.011,.463,.433,0.030,.331,.332,-0.001
Pence, Hunter,452254,2016,442,303,.289,.256,0.033,.451,.415,0.036,.349,.331,0.018
Bradley Jr., Jackie,598265,2016,636,420,.267,.242,0.025,.486,.433,0.053,.354,.331,0.023
Peterson, Jace,607054,2016,408,286,.254,.269,-0.015,.366,.386,-0.020,.317,.331,-0.014
Pedroia, Dustin,456030,2016,698,564,.318,.283,0.035,.449,.401,0.048,.358,.330,0.028
Ramírez, José,608070,2016,618,508,.312,.287,0.025,.462,.412,0.050,.355,.330,0.025
Naquin, Tyler,571980,2016,365,213,.296,.252,0.044,.514,.429,0.085,.374,.330,0.044
Gyorko, Jedd,576397,2016,438,305,.243,.236,0.007,.495,.466,0.029,.339,.330,0.009
Garcia, Greg,594824,2016,257,165,.276,.258,0.018,.369,.356,0.013,.338,.329,0.009
Werth, Jayson,150029,2016,606,392,.244,.241,0.003,.417,.407,0.010,.327,.329,-0.002
Granderson, Curtis,434158,2016,633,420,.237,.242,-0.005,.464,.421,0.043,.339,.329,0.010
Hosmer, Eric,543333,2016,667,477,.266,.259,0.007,.433,.434,-0.001,.326,.328,-0.002
Kendrick, Howie,435062,2016,543,394,.255,.263,-0.008,.366,.409,-0.043,.303,.328,-0.025
Bruce, Jay,457803,2016,589,416,.250,.249,0.001,.506,.464,0.042,.340,.328,0.012
McCann, Brian,435263,2016,492,332,.242,.243,-0.001,.413,.416,-0.003,.326,.328,-0.002
Marte, Starling,516782,2016,529,386,.311,.277,0.034,.456,.428,0.028,.351,.327,0.024
Molina, Yadier,425877,2016,581,473,.307,.277,0.030,.427,.413,0.014,.342,.326,0.016
Smoak, Justin,475253,2016,341,187,.217,.225,-0.008,.391,.432,-0.041,.309,.326,-0.017
Mazara, Nomar,608577,2016,568,411,.266,.261,0.005,.419,.424,-0.005,.318,.325,-0.007
Peraza, José,606299,2016,256,211,.324,.307,0.017,.411,.401,0.010,.331,.324,0.007
González, Adrián,408236,2016,633,457,.285,.270,0.015,.435,.419,0.016,.334,.324,0.010
Guyer, Brandon,446386,2016,345,240,.266,.244,0.022,.423,.363,0.060,.351,.324,0.027
Lind, Adam,452252,2016,430,314,.239,.256,-0.017,.431,.462,-0.031,.304,.324,-0.020
Díaz, Aledmys,649557,2016,460,352,.300,.256,0.044,.510,.413,0.097,.370,.323,0.047
Jones, Adam,430945,2016,672,513,.265,.257,0.008,.436,.454,-0.018,.319,.323,-0.004
García, Avisaíl,541645,2016,453,300,.245,.257,-0.012,.385,.415,-0.030,.302,.323,-0.021
Broxton, Keon,542979,2016,244,120,.242,.220,0.022,.430,.385,0.045,.343,.323,0.020
Sanó, Miguel,593934,2016,495,262,.236,.211,0.025,.462,.440,0.022,.334,.323,0.011
Uribe, Juan,346874,2016,259,192,.206,.265,-0.059,.332,.419,-0.087,.256,.323,-0.067
Kinsler, Ian,435079,2016,679,506,.288,.263,0.025,.484,.411,0.073,.356,.322,0.034
Martin, Russell,431145,2016,535,313,.231,.221,0.010,.398,.405,-0.007,.322,.322,-0.000
Thompson, Trayce,572204,2016,262,170,.225,.240,-0.015,.436,.426,0.010,.318,.322,-0.004
Jaso, John,444379,2016,432,308,.268,.252,0.016,.413,.381,0.032,.335,.321,0.014
Dozier, Brian,572821,2016,691,484,.268,.229,0.039,.546,.444,0.102,.370,.320,0.050
Andrus, Elvis,462101,2016,568,447,.302,.277,0.025,.439,.381,0.058,.344,.319,0.025
Eaton, Adam,594809,2016,706,514,.284,.259,0.025,.428,.383,0.045,.344,.319,0.025
Reddick, Josh,502210,2016,439,344,.281,.275,0.006,.405,.401,0.004,.323,.319,0.004
Plouffe, Trevor,461858,2016,344,263,.260,.252,0.008,.420,.422,-0.002,.311,.319,-0.008
Gattis, Evan,594828,2016,499,325,.251,.234,0.017,.508,.448,0.060,.345,.319,0.026
Soler, Jorge,624585,2016,264,164,.238,.218,0.020,.436,.414,0.022,.333,.319,0.014
Gordon, Alex,460086,2016,506,298,.220,.226,-0.006,.380,.416,-0.036,.303,.319,-0.016
De Aza, Alejandro,457477,2016,267,169,.205,.244,-0.039,.321,.378,-0.057,.276,.319,-0.043
Desmond, Ian,435622,2016,677,468,.285,.257,0.028,.446,.421,0.025,.336,.318,0.018
Wieters, Matt,446308,2016,464,342,.243,.251,-0.008,.409,.428,-0.019,.307,.318,-0.011
Miller, Brad,543543,2016,601,402,.243,.239,0.004,.482,.435,0.047,.333,.318,0.015
Grichuk, Randal,545341,2016,478,306,.240,.233,0.007,.480,.462,0.018,.325,.318,0.007
Conforto, Michael,624424,2016,348,218,.220,.226,-0.006,.414,.417,-0.003,.312,.318,-0.006
Beltrán, Carlos,136860,2016,593,455,.295,.266,0.029,.513,.429,0.084,.358,.317,0.041
Lee, Dae-Ho,493193,2016,317,218,.253,.258,-0.005,.428,.416,0.012,.318,.317,0.001
Saunders, Michael,459431,2016,558,337,.253,.232,0.021,.478,.401,0.077,.348,.317,0.031
Bogaerts, Xander,593428,2016,719,532,.294,.254,0.040,.446,.398,0.048,.348,.316,0.032
Freese, David,501896,2016,492,295,.270,.239,0.031,.412,.397,0.015,.334,.316,0.018
Cervelli, Francisco,465041,2016,393,259,.264,.239,0.025,.322,.329,-0.007,.318,.316,0.002
Adams, Matt,571431,2016,327,219,.249,.231,0.018,.471,.451,0.020,.331,.316,0.015
Cain, Lorenzo,456715,2016,434,317,.287,.272,0.015,.408,.401,0.007,.322,.315,0.007
García, Adonis,611177,2016,563,440,.273,.276,-0.003,.406,.418,-0.012,.308,.315,-0.007
Descalso, Daniel,518614,2016,289,198,.264,.257,0.007,.424,.370,0.054,.332,.315,0.017
Valbuena, Luis,472528,2016,342,216,.260,.222,0.038,.459,.392,0.067,.351,.315,0.036
Franco, Maikel,596748,2016,630,479,.255,.257,-0.002,.427,.423,0.004,.311,.314,-0.003
Marte, Jefry,527043,2016,284,202,.252,.243,0.009,.481,.423,0.058,.335,.314,0.021
Fielder, Prince,425902,2016,370,268,.212,.243,-0.031,.334,.384,-0.050,.276,.314,-0.038
Peralta, Jhonny,425509,2016,313,236,.260,.250,0.010,.408,.428,-0.020,.308,.313,-0.005
Johnson, Kelly,430637,2016,333,241,.247,.259,-0.012,.391,.399,-0.008,.301,.313,-0.012
